s,luma
0,0.0959
100,0.0679
200,0.079
300,0.0608
400,0.0615
500,0.0613
600,0.0558
700,0.0667
800,0.0562
900,0.0403
1000,0.0511
1100,0.0913
1200,0.0384
1300,0.045
1400,0.0443
1500,0.0388
1600,0.0476
1700,0.0795
1800,0.0692
1900,0.0443
2000,0.0485
2100,0.047
2200,0.051
2300,0.0551
2400,0.0487
2500,0.0559
2600,0.0589
2700,0.0494
2800,0.0553
2900,0.0501
3000,0.0452
3100,0.0474
3200,0.048
3300,0.0424
3400,0.0493
3500,0.0487
3600,0.0422
3700,0.0493
3800,0.0482
3900,0.0419
4000,0.0475
4100,0.0463
4200,0.0423
4300,0.0476
4400,0.3208
4500,0.3242
4600,0.3647
4700,0.5055
4800,0.1281
4900,0.3104
5000,0.0763
5100,0.0741
5200,0.0826
5300,0.0918
5400,0.0773
5500,0.0825
5600,0.0765
5700,0.1017
